,quantile,sample,celltype,values
423,2,A0099_S114_L002,CD4+ TC,0.08115539
424,2,A0099_S114_L002,CD8+ TC,0.08140071
425,2,A0099_S114_L002,Cycling,0.069308996
426,2,A0099_S114_L002,Mature BC,0.6198287
427,2,A0099_S114_L002,Mono,0.077411175
428,2,A0099_S114_L002,NK,0.022127975
429,2,A0099_S114_L002,Neutro,0.0063730385
430,2,A0099_S114_L002,Plasma BC,0.008588009
431,2,A0099_S114_L002,Pre BC,0.030602846
432,2,A0113_S113_L002,CD4+ TC,0.06446883
433,2,A0113_S113_L002,CD8+ TC,0.08281535
434,2,A0113_S113_L002,Cycling,0.002517909
435,2,A0113_S113_L002,Mature BC,0.6830778
436,2,A0113_S113_L002,Mono,0.11116852
437,2,A0113_S113_L002,NK,0.024828069
438,2,A0113_S113_L002,Neutro,0.003855838
439,2,A0113_S113_L002,Plasma BC,0.015535828
440,2,A0113_S113_L002,Pre BC,0.012465186
441,2,A0127_S112_L002,CD4+ TC,0.06966065
442,2,A0127_S112_L002,CD8+ TC,0.1079582
443,2,A0127_S112_L002,Cycling,0.04126038
444,2,A0127_S112_L002,Mature BC,0.5203434
445,2,A0127_S112_L002,Mono,0.19541603
446,2,A0127_S112_L002,NK,0.018786814
447,2,A0127_S112_L002,Neutro,0.006856992
448,2,A0127_S112_L002,Plasma BC,0.014166049
449,2,A0127_S112_L002,Pre BC,0.024295937
450,2,A0141_S111_L002,CD4+ TC,0.05146778
451,2,A0141_S111_L002,CD8+ TC,0.0604397
452,2,A0141_S111_L002,Cycling,0.029420374
453,2,A0141_S111_L002,Mature BC,0.5508578
454,2,A0141_S111_L002,Mono,0.10155882
455,2,A0141_S111_L002,NK,0.026059955
456,2,A0141_S111_L002,Neutro,0.006396776
457,2,A0141_S111_L002,Plasma BC,0.04778058
458,2,A0141_S111_L002,Pre BC,0.124256596
459,2,A0169_S109_L002,CD4+ TC,0.043648012
460,2,A0169_S109_L002,CD8+ TC,0.06776798
461,2,A0169_S109_L002,Cycling,0.021418964
462,2,A0169_S109_L002,Mature BC,0.41312265
463,2,A0169_S109_L002,Mono,0.373475
464,2,A0169_S109_L002,NK,0.046021543
465,2,A0169_S109_L002,Neutro,0.005219574
466,2,A0169_S109_L002,Plasma BC,0.021958204
467,2,A0169_S109_L002,Pre BC,0.006707292
468,2,A0183_S108_L002,CD4+ TC,0.027190272
469,2,A0183_S108_L002,CD8+ TC,0.01933441
470,2,A0183_S108_L002,Cycling,0.0019010032
471,2,A0183_S108_L002,Mature BC,0.51582575
472,2,A0183_S108_L002,Mono,0.31768554
473,2,A0183_S108_L002,NK,0.019216908
474,2,A0183_S108_L002,Neutro,0.0044068126
475,2,A0183_S108_L002,Plasma BC,0.02532482
476,2,A0183_S108_L002,Pre BC,0.06822361
477,2,A0197_S107_L002,CD4+ TC,0.054364685
478,2,A0197_S107_L002,CD8+ TC,0.0751338
479,2,A0197_S107_L002,Cycling,0.07672541
480,2,A0197_S107_L002,Mature BC,0.21302998
481,2,A0197_S107_L002,Mono,0.39258936
482,2,A0197_S107_L002,NK,0.039932307
483,2,A0197_S107_L002,Neutro,0.009082531
484,2,A0197_S107_L002,Plasma BC,0.05036182
485,2,A0197_S107_L002,Pre BC,0.09001401
486,2,A0211_S106_L002,CD4+ TC,0.051625725
487,2,A0211_S106_L002,CD8+ TC,0.03558076
488,2,A0211_S106_L002,Cycling,0.007463933
489,2,A0211_S106_L002,Mature BC,0.51125693
490,2,A0211_S106_L002,Mono,0.26551753
491,2,A0211_S106_L002,NK,0.028922096
492,2,A0211_S106_L002,Neutro,0.0032949792
493,2,A0211_S106_L002,Plasma BC,0.0320144
494,2,A0211_S106_L002,Pre BC,0.06300655
495,2,A0225_S24_L001,CD4+ TC,0.03663321
496,2,A0225_S24_L001,CD8+ TC,0.06253288
497,2,A0225_S24_L001,Cycling,0.013363773
498,2,A0225_S24_L001,Mature BC,0.46301258
499,2,A0225_S24_L001,Mono,0.28549767
500,2,A0225_S24_L001,NK,0.032891568
501,2,A0225_S24_L001,Neutro,0.004551754
502,2,A0225_S24_L001,Plasma BC,0.042369135
503,2,A0225_S24_L001,Pre BC,0.05891723
504,2,A0239_S23_L001,CD4+ TC,0.081585154
505,2,A0239_S23_L001,CD8+ TC,0.088524505
506,2,A0239_S23_L001,Cycling,0.07580808
507,2,A0239_S23_L001,Mature BC,0.577064
508,2,A0239_S23_L001,Mono,0.057441935
509,2,A0239_S23_L001,NK,0.018230963
510,2,A0239_S23_L001,Neutro,0.005830862
511,2,A0239_S23_L001,Plasma BC,0.01206981
512,2,A0239_S23_L001,Pre BC,0.08102786
